# screening: M_eff, kappa = 0.500
# MC samples, -1000000
#
# Columns: T/lambda, eta/T^3, {lower, upper, omni}
0.8000    5.379695e+00    5.379695e+00    5.379695e+00    5.379695e+00
0.9390    5.884562e+00    5.884562e+00    5.884562e+00    5.884562e+00
1.0780    6.484869e+00    6.484869e+00    6.484869e+00    6.484869e+00
1.2169    7.067778e+00    7.067778e+00    7.067778e+00    7.067778e+00
1.3559    7.698520e+00    7.698520e+00    7.698520e+00    7.698520e+00
1.4949    8.304071e+00    8.304071e+00    8.304071e+00    8.304071e+00
1.6339    8.923082e+00    8.923082e+00    8.923082e+00    8.923082e+00
1.7729    9.505253e+00    9.505253e+00    9.505253e+00    9.505253e+00
1.9119    1.009767e+01    1.009767e+01    1.009767e+01    1.009767e+01
2.0508    1.065875e+01    1.065875e+01    1.065875e+01    1.065875e+01
2.1898    1.120163e+01    1.120163e+01    1.120163e+01    1.120163e+01
2.3288    1.173131e+01    1.173131e+01    1.173131e+01    1.173131e+01
2.4678    1.224849e+01    1.224849e+01    1.224849e+01    1.224849e+01
2.6068    1.274626e+01    1.274626e+01    1.274626e+01    1.274626e+01
2.7458    1.322614e+01    1.322614e+01    1.322614e+01    1.322614e+01
2.8847    1.369661e+01    1.369661e+01    1.369661e+01    1.369661e+01
3.0237    1.414142e+01    1.414142e+01    1.414142e+01    1.414142e+01
3.1627    1.459368e+01    1.459368e+01    1.459368e+01    1.459368e+01
3.3017    1.502162e+01    1.502162e+01    1.502162e+01    1.502162e+01
3.4407    1.543916e+01    1.543916e+01    1.543916e+01    1.543916e+01
3.5797    1.584052e+01    1.584052e+01    1.584052e+01    1.584052e+01
3.7186    1.623440e+01    1.623440e+01    1.623440e+01    1.623440e+01
3.8576    1.661194e+01    1.661194e+01    1.661194e+01    1.661194e+01
3.9966    1.697597e+01    1.697597e+01    1.697597e+01    1.697597e+01
4.1356    1.734312e+01    1.734312e+01    1.734312e+01    1.734312e+01
4.2746    1.769770e+01    1.769770e+01    1.769770e+01    1.769770e+01
4.4136    1.805398e+01    1.805398e+01    1.805398e+01    1.805398e+01
4.5525    1.838000e+01    1.838000e+01    1.838000e+01    1.838000e+01
4.6915    1.868492e+01    1.868492e+01    1.868492e+01    1.868492e+01
4.8305    1.902886e+01    1.902886e+01    1.902886e+01    1.902886e+01
4.9695    1.935105e+01    1.935105e+01    1.935105e+01    1.935105e+01
5.1085    1.965703e+01    1.965703e+01    1.965703e+01    1.965703e+01
5.2475    1.996743e+01    1.996743e+01    1.996743e+01    1.996743e+01
5.3864    2.024844e+01    2.024844e+01    2.024844e+01    2.024844e+01
5.5254    2.054490e+01    2.054490e+01    2.054490e+01    2.054490e+01
5.6644    2.084856e+01    2.084856e+01    2.084856e+01    2.084856e+01
5.8034    2.111075e+01    2.111075e+01    2.111075e+01    2.111075e+01
5.9424    2.137958e+01    2.137958e+01    2.137958e+01    2.137958e+01
6.0814    2.164754e+01    2.164754e+01    2.164754e+01    2.164754e+01
6.2203    2.189890e+01    2.189890e+01    2.189890e+01    2.189890e+01
6.3593    2.217547e+01    2.217547e+01    2.217547e+01    2.217547e+01
6.4983    2.241993e+01    2.241993e+01    2.241993e+01    2.241993e+01
6.6373    2.266912e+01    2.266912e+01    2.266912e+01    2.266912e+01
6.7763    2.292423e+01    2.292423e+01    2.292423e+01    2.292423e+01
6.9153    2.314881e+01    2.314881e+01    2.314881e+01    2.314881e+01
7.0542    2.338606e+01    2.338606e+01    2.338606e+01    2.338606e+01
7.1932    2.361824e+01    2.361824e+01    2.361824e+01    2.361824e+01
7.3322    2.384344e+01    2.384344e+01    2.384344e+01    2.384344e+01
7.4712    2.407399e+01    2.407399e+01    2.407399e+01    2.407399e+01
7.6102    2.428349e+01    2.428349e+01    2.428349e+01    2.428349e+01
7.7492    2.451430e+01    2.451430e+01    2.451430e+01    2.451430e+01
7.8881    2.483109e+01    2.483109e+01    2.483109e+01    2.483109e+01
8.0271    2.493466e+01    2.493466e+01    2.493466e+01    2.493466e+01
8.1661    2.513768e+01    2.513768e+01    2.513768e+01    2.513768e+01
8.3051    2.534476e+01    2.534476e+01    2.534476e+01    2.534476e+01
8.4441    2.553760e+01    2.553760e+01    2.553760e+01    2.553760e+01
8.5831    2.574485e+01    2.574485e+01    2.574485e+01    2.574485e+01
8.7220    2.594378e+01    2.594378e+01    2.594378e+01    2.594378e+01
8.8610    2.614306e+01    2.614306e+01    2.614306e+01    2.614306e+01
9.0000    2.632885e+01    2.632885e+01    2.632885e+01    2.632885e+01
