8.949717e-001           *   4.318009e-003  4.402675e-003
9.026944e-001           *   8.382017e-003  8.466684e-003
9.104170e-001           *   1.447803e-002  1.524003e-002
1.857731e+000 1.147151e+000 4.440183e+000  5.586995e+000
1.870088e+000 1.153586e+000 4.445263e+000  5.599187e+000
1.882959e+000 1.160359e+000 4.451359e+000  5.611379e+000
1.895315e+000 1.166794e+000 4.456439e+000  5.623571e+000
1.907671e+000 1.173228e+000 4.461519e+000  5.635763e+000
1.920542e+000 1.179324e+000 4.467615e+000  5.646601e+000
1.933413e+000 1.185759e+000 4.472695e+000  5.657438e+000
1.946285e+000 1.191855e+000 4.477775e+000  5.669630e+000
1.959156e+000 1.197612e+000 4.482855e+000  5.680467e+000
1.984898e+000 1.209466e+000 4.491999e+000  5.700787e+000
1.998284e+000 1.214884e+000 4.497079e+000  5.711625e+000
2.011155e+000 1.220642e+000 4.501143e+000  5.722462e+000
2.024541e+000 1.226060e+000 4.506223e+000  5.731945e+000
2.037927e+000 1.231479e+000 4.510287e+000  5.741427e+000
2.051313e+000 1.236898e+000 4.514351e+000  5.752265e+000
2.064699e+000 1.241978e+000 4.519431e+000  5.761748e+000
2.078085e+000 1.247396e+000 4.523495e+000  5.771230e+000
2.091471e+000 1.252477e+000 4.527559e+000  5.779358e+000
2.105372e+000 1.257218e+000 4.531623e+000  5.788841e+000
2.119272e+000 1.262298e+000 4.535687e+000  5.798324e+000
2.132658e+000 1.267039e+000 4.539751e+000  5.807806e+000
2.146559e+000 1.272119e+000 4.543815e+000  5.815934e+000
2.160975e+000 1.276522e+000 4.547879e+000  5.825417e+000
2.174876e+000 1.281263e+000 4.551943e+000  5.833545e+000
2.188776e+000 1.286005e+000 4.556007e+000  5.843028e+000
2.217608e+000 1.294810e+000 4.565151e+000  5.859284e+000
2.231508e+000 1.299213e+000 4.569215e+000  5.867412e+000
2.245924e+000 1.303615e+000 4.572263e+000  5.876894e+000
2.260855e+000 1.308018e+000 4.576327e+000  5.885022e+000
2.275270e+000 1.312082e+000 4.580391e+000  5.893150e+000
2.289686e+000 1.316485e+000 4.584455e+000  5.901278e+000
2.304616e+000 1.320549e+000 4.588519e+000  5.909406e+000
2.319547e+000 1.324613e+000 4.592583e+000  5.917535e+000
2.334477e+000 1.328677e+000 4.596647e+000  5.925663e+000
2.349408e+000 1.332402e+000 4.600711e+000  5.932436e+000
2.364338e+000 1.336466e+000 4.604775e+000  5.940564e+000
2.379784e+000 1.340191e+000 4.607823e+000  5.948692e+000
2.394714e+000 1.343917e+000 4.611887e+000  5.955465e+000
2.410160e+000 1.347642e+000 4.615951e+000  5.963593e+000
2.425605e+000 1.351367e+000 4.620015e+000  5.970367e+000
2.441050e+000 1.355093e+000 4.623063e+000  5.978495e+000
2.456496e+000 1.358818e+000 4.627127e+000  5.985268e+000
2.472456e+000 1.362205e+000 4.630175e+000  5.992041e+000
